,day,location,total_trajectories,vehicles_filtered,bikes_filtered,persons_filtered
239,2024-09-30 00:00:01-05:00,8,17136,10592,87,365
240,2024-10-01 00:00:01-05:00,1,23032,19596,132,981
241,2024-10-01 00:00:01-05:00,2,35183,13574,135,794
242,2024-10-01 00:00:01-05:00,3,33131,17934,97,447
243,2024-10-01 00:00:01-05:00,4,18609,11614,64,239
244,2024-10-01 00:00:01-05:00,5,34733,16182,147,518
245,2024-10-01 00:00:01-05:00,6,20087,7251,112,769
246,2024-10-01 00:00:01-05:00,7,11509,9383,97,484
247,2024-10-01 00:00:01-05:00,8,18576,10970,98,399
248,2024-10-02 00:00:01-05:00,1,25783,19482,119,914
249,2024-10-02 00:00:01-05:00,2,48658,16613,150,1006
250,2024-10-02 00:00:01-05:00,3,36319,17811,102,477
251,2024-10-02 00:00:01-05:00,4,18205,9947,61,186
252,2024-10-02 00:00:01-05:00,5,51010,17856,125,596
253,2024-10-02 00:00:01-05:00,6,28583,12422,143,1129
254,2024-10-02 00:00:01-05:00,7,11992,9845,78,460
255,2024-10-02 00:00:01-05:00,8,19212,11541,101,391
256,2024-10-03 00:00:01-05:00,1,25622,20390,111,1035
257,2024-10-03 00:00:01-05:00,2,42980,16659,132,988
258,2024-10-03 00:00:01-05:00,3,38399,18655,94,511
259,2024-10-03 00:00:01-05:00,4,19671,10743,71,215
260,2024-10-03 00:00:01-05:00,5,45368,18085,119,577
261,2024-10-03 00:00:01-05:00,6,40789,17113,242,1341
262,2024-10-03 00:00:01-05:00,7,12575,9858,92,612
263,2024-10-03 00:00:01-05:00,8,18967,12221,119,368
264,2024-10-04 00:00:01-05:00,1,25840,21042,154,885
265,2024-10-04 00:00:01-05:00,2,39423,17962,158,787
266,2024-10-04 00:00:01-05:00,3,38735,19316,106,483
267,2024-10-04 00:00:01-05:00,4,22030,13449,89,289
268,2024-10-04 00:00:01-05:00,5,43728,17739,152,694
269,2024-10-04 00:00:01-05:00,6,38222,14838,141,1292
270,2024-10-04 00:00:01-05:00,7,13864,10707,116,626
271,2024-10-04 00:00:01-05:00,8,16102,12112,115,302
272,2024-10-05 00:00:01-05:00,1,20721,16476,150,685
273,2024-10-05 00:00:01-05:00,2,35290,14443,205,819
274,2024-10-05 00:00:01-05:00,3,34660,15689,128,464
275,2024-10-05 00:00:01-05:00,4,18826,11643,115,263
276,2024-10-05 00:00:01-05:00,5,34339,13569,207,723
277,2024-10-05 00:00:01-05:00,6,27635,10605,164,1090
278,2024-10-05 00:00:01-05:00,7,13577,10282,125,688
279,2024-10-05 00:00:01-05:00,8,14789,12584,149,341
280,2024-10-06 00:00:01-05:00,1,17277,13747,126,626
281,2024-10-06 00:00:01-05:00,2,32924,12104,148,788
282,2024-10-06 00:00:01-05:00,3,29174,13144,92,415
283,2024-10-06 00:00:01-05:00,4,12968,10694,117,270
284,2024-10-06 00:00:01-05:00,5,34952,14102,196,675
285,2024-10-06 00:00:01-05:00,6,28623,11891,213,1438
286,2024-10-06 00:00:01-05:00,7,9770,8354,90,341
287,2024-10-06 00:00:01-05:00,8,12216,10362,100,276
288,2024-10-07 00:00:01-05:00,1,21250,17308,102,790
289,2024-10-07 00:00:01-05:00,2,33212,13945,117,832
290,2024-10-07 00:00:01-05:00,3,38548,16207,78,419
291,2024-10-07 00:00:01-05:00,4,18236,12966,82,311
292,2024-10-07 00:00:01-05:00,5,42867,14342,143,671
293,2024-10-07 00:00:01-05:00,6,43649,17568,269,2028
294,2024-10-07 00:00:01-05:00,7,9669,8069,96,478
295,2024-10-07 00:00:01-05:00,8,11327,9265,76,296
296,2024-10-08 00:00:01-05:00,1,24902,18226,94,878
297,2024-10-08 00:00:01-05:00,2,47711,14993,125,874
298,2024-10-08 00:00:01-05:00,3,39512,16871,70,396
299,2024-10-08 00:00:01-05:00,4,19061,12773,53,332
300,2024-10-08 00:00:01-05:00,5,35418,13536,62,643
301,2024-10-08 00:00:01-05:00,6,42768,20138,169,2171
302,2024-10-08 00:00:01-05:00,7,10241,8626,65,441
303,2024-10-08 00:00:01-05:00,8,11608,9600,83,324
304,2024-10-09 00:00:01-05:00,1,28788,18546,128,1113
305,2024-10-09 00:00:01-05:00,2,44809,16232,175,937
306,2024-10-09 00:00:01-05:00,3,46770,16872,92,377
307,2024-10-09 00:00:01-05:00,4,25827,14493,78,248
308,2024-10-09 00:00:01-05:00,5,39952,16053,153,807
309,2024-10-09 00:00:01-05:00,6,42818,17222,183,1914
310,2024-10-09 00:00:01-05:00,7,11658,8993,61,502
311,2024-10-09 00:00:01-05:00,8,11623,9627,65,354
312,2024-10-10 00:00:01-05:00,1,29587,19364,141,1316
313,2024-10-10 00:00:01-05:00,2,39958,17155,244,1033
314,2024-10-10 00:00:01-05:00,3,38785,17587,132,432
315,2024-10-10 00:00:01-05:00,4,23737,15071,136,332
316,2024-10-10 00:00:01-05:00,5,41259,14499,213,986
317,2024-10-10 00:00:01-05:00,6,43479,17190,201,2077
318,2024-10-10 00:00:01-05:00,7,11744,9647,93,495
319,2024-10-10 00:00:01-05:00,8,15295,11877,93,356
320,2024-10-11 00:00:01-05:00,1,33637,21555,200,1307
321,2024-10-11 00:00:01-05:00,2,52703,19203,276,1009
322,2024-10-11 00:00:01-05:00,3,42220,20127,158,430
323,2024-10-11 00:00:01-05:00,4,27634,17233,145,391
324,2024-10-11 00:00:01-05:00,5,47991,17939,394,1308
325,2024-10-11 00:00:01-05:00,6,52193,21711,369,2281
326,2024-10-11 00:00:01-05:00,7,16389,12098,152,781
327,2024-10-11 00:00:01-05:00,8,27317,15152,190,882
328,2024-10-12 00:00:01-05:00,1,24032,18945,488,729
329,2024-10-12 00:00:01-05:00,2,42011,17391,530,863
330,2024-10-12 00:00:01-05:00,3,30867,17731,225,384
331,2024-10-12 00:00:01-05:00,4,27700,15488,279,459
332,2024-10-12 00:00:01-05:00,5,35547,11999,411,856
333,2024-10-12 00:00:01-05:00,6,48273,18533,510,1937
334,2024-10-12 00:00:01-05:00,7,18098,13978,190,660
335,2024-10-12 00:00:01-05:00,8,22993,17132,203,595
336,2024-10-13 00:00:01-05:00,1,21805,14700,146,607
337,2024-10-13 00:00:01-05:00,2,45156,13573,233,858
338,2024-10-13 00:00:01-05:00,3,29570,13637,117,406
339,2024-10-13 00:00:01-05:00,4,14756,11071,131,227
340,2024-10-13 00:00:01-05:00,5,35450,8963,274,691
341,2024-10-13 00:00:01-05:00,6,31908,14822,429,1802
342,2024-10-13 00:00:01-05:00,7,9833,8383,103,366
343,2024-10-13 00:00:01-05:00,8,20725,12249,112,1045
344,2024-10-14 00:00:01-05:00,1,26347,17657,83,781
345,2024-10-14 00:00:01-05:00,2,49524,17355,167,1072
346,2024-10-14 00:00:01-05:00,3,50277,16262,63,425
347,2024-10-14 00:00:01-05:00,4,18018,13678,56,208
348,2024-10-14 00:00:01-05:00,5,30833,10274,120,639
349,2024-10-14 00:00:01-05:00,6,34306,14470,213,1860
350,2024-10-14 00:00:01-05:00,7,9822,8324,76,453
351,2024-10-14 00:00:01-05:00,8,14623,9970,85,351
352,2024-10-15 00:00:01-05:00,1,24408,18688,69,845
353,2024-10-15 00:00:01-05:00,2,36183,12746,59,662
354,2024-10-15 00:00:01-05:00,3,42297,17211,69,381
355,2024-10-15 00:00:01-05:00,4,17719,10624,30,169
356,2024-10-15 00:00:01-05:00,5,22806,8518,110,531
357,2024-10-15 00:00:01-05:00,6,31797,12191,126,1149
358,2024-10-15 00:00:01-05:00,7,10958,8883,50,443
359,2024-10-15 00:00:01-05:00,8,17705,10576,73,416
360,2024-10-16 00:00:01-05:00,1,27057,18850,58,895
361,2024-10-16 00:00:01-05:00,2,39427,17666,85,938
362,2024-10-16 00:00:01-05:00,3,39305,16827,55,424
363,2024-10-16 00:00:01-05:00,4,19433,12791,48,203
364,2024-10-16 00:00:01-05:00,5,28959,11449,146,967
365,2024-10-16 00:00:01-05:00,6,43643,15432,188,1590
366,2024-10-16 00:00:01-05:00,7,11026,8719,53,520
367,2024-10-16 00:00:01-05:00,8,15772,10346,61,380
368,2024-10-17 00:00:01-05:00,1,28975,19992,68,914
369,2024-10-17 00:00:01-05:00,2,34968,13388,66,628
370,2024-10-17 00:00:01-05:00,3,42460,17843,64,456
371,2024-10-17 00:00:01-05:00,4,17841,12493,54,233
372,2024-10-17 00:00:01-05:00,5,39791,16560,159,1048
373,2024-10-17 00:00:01-05:00,6,34974,14702,161,1362
374,2024-10-17 00:00:01-05:00,7,12551,9549,64,457
375,2024-10-17 00:00:01-05:00,8,16046,11227,60,344
376,2024-10-18 00:00:01-05:00,1,27677,20195,111,849
377,2024-10-18 00:00:01-05:00,2,43166,17957,129,787
378,2024-10-18 00:00:01-05:00,3,39469,18077,74,366
379,2024-10-18 00:00:01-05:00,4,17872,11113,59,429
380,2024-10-18 00:00:01-05:00,5,38036,17019,206,1224
381,2024-10-18 00:00:01-05:00,6,32415,12438,165,1485
382,2024-10-18 00:00:01-05:00,7,13010,10159,70,599
383,2024-10-18 00:00:01-05:00,8,17579,12302,79,396
384,2024-10-19 00:00:01-05:00,1,19695,15238,104,723
385,2024-10-19 00:00:01-05:00,2,38166,14386,164,981
386,2024-10-19 00:00:01-05:00,3,37264,14168,91,543
387,2024-10-19 00:00:01-05:00,4,15387,8262,54,204
388,2024-10-19 00:00:01-05:00,5,24265,7916,137,659
389,2024-10-19 00:00:01-05:00,6,37748,15278,318,1834
390,2024-10-19 00:00:01-05:00,7,12034,9147,128,736
391,2024-10-19 00:00:01-05:00,8,15865,11275,128,286
392,2024-10-20 00:00:01-05:00,1,17759,13051,132,558
393,2024-10-20 00:00:01-05:00,2,32157,12664,183,933
394,2024-10-20 00:00:01-05:00,3,37383,12073,101,408
395,2024-10-20 00:00:01-05:00,4,17416,9506,121,170
396,2024-10-20 00:00:01-05:00,5,20683,6695,147,476
397,2024-10-20 00:00:01-05:00,6,40887,15428,358,2243
398,2024-10-20 00:00:01-05:00,7,8782,7441,98,374
399,2024-10-20 00:00:01-05:00,8,12233,9524,97,339
400,2024-10-21 00:00:01-05:00,1,23042,17183,95,889
401,2024-10-21 00:00:01-05:00,2,36077,13002,81,683
402,2024-10-21 00:00:01-05:00,3,44018,14387,55,342
403,2024-10-21 00:00:01-05:00,4,31715,13859,70,485
404,2024-10-21 00:00:01-05:00,5,21368,8182,92,438
405,2024-10-21 00:00:01-05:00,6,38418,16921,195,1731
406,2024-10-21 00:00:01-05:00,7,9644,8131,52,376
407,2024-10-21 00:00:01-05:00,8,12335,9230,63,341
408,2024-10-22 00:00:01-05:00,1,22800,18480,106,903
409,2024-10-22 00:00:01-05:00,2,37932,12369,63,646
410,2024-10-22 00:00:01-05:00,3,58656,17071,57,378
411,2024-10-22 00:00:01-05:00,4,29760,14787,57,495
412,2024-10-22 00:00:01-05:00,5,23718,8476,76,455
413,2024-10-22 00:00:01-05:00,6,44701,17027,156,1954
414,2024-10-22 00:00:01-05:00,7,10883,9062,58,469
415,2024-10-22 00:00:01-05:00,8,17251,10659,72,364
416,2024-10-23 00:00:01-05:00,1,28802,19467,114,926
417,2024-10-23 00:00:01-05:00,2,42583,17472,119,916
418,2024-10-23 00:00:01-05:00,3,61079,16886,85,429
419,2024-10-23 00:00:01-05:00,4,22306,10950,48,298
420,2024-10-23 00:00:01-05:00,5,31653,10468,105,728
421,2024-10-23 00:00:01-05:00,6,51688,18891,245,2368
422,2024-10-23 00:00:01-05:00,7,11075,9114,73,473
423,2024-10-23 00:00:01-05:00,8,16173,11079,77,349
424,2024-10-24 00:00:01-05:00,1,27386,19447,97,847
425,2024-10-24 00:00:01-05:00,2,42787,17408,128,664
426,2024-10-24 00:00:01-05:00,3,57744,17423,83,424
427,2024-10-24 00:00:01-05:00,4,15342,9357,44,270
428,2024-10-24 00:00:01-05:00,5,20399,8969,79,544
429,2024-10-24 00:00:01-05:00,6,58400,22259,245,2559
430,2024-10-24 00:00:01-05:00,7,12864,9827,76,542
431,2024-10-24 00:00:01-05:00,8,17002,11540,85,412
432,2024-10-25 00:00:01-05:00,1,26903,19325,137,1096
